px: 429, py: 230, data: 0.0
px: 429, py: 231, data: 0.0
px: 429, py: 232, data: 0.0
px: 429, py: 233, data: 0.0
px: 429, py: 234, data: 0.0
px: 429, py: 235, data: 0.0
px: 429, py: 236, data: 0.0
px: 429, py: 237, data: 0.0
px: 429, py: 238, data: 0.0
px: 429, py: 239, data: 0.0
px: 429, py: 240, data: 0.0
px: 429, py: 241, data: 0.0
px: 430, py: 230, data: 0.0
px: 430, py: 231, data: 0.0
px: 430, py: 232, data: 0.0
px: 430, py: 233, data: 0.0
px: 430, py: 234, data: 0.0
px: 430, py: 235, data: 0.0
px: 430, py: 236, data: 0.0
px: 430, py: 237, data: 0.0
px: 430, py: 238, data: 0.0
px: 430, py: 239, data: 0.0
px: 430, py: 240, data: 0.0
px: 430, py: 241, data: 0.0
px: 431, py: 230, data: 0.0
px: 431, py: 231, data: 0.0
px: 431, py: 232, data: 0.0
px: 431, py: 233, data: 0.0
px: 431, py: 234, data: 0.0
px: 431, py: 235, data: 0.0
px: 431, py: 236, data: 0.0
px: 431, py: 237, data: 0.0
px: 431, py: 238, data: 0.0
px: 431, py: 239, data: 0.0
px: 431, py: 240, data: 0.0
px: 431, py: 241, data: 0.0
px: 432, py: 230, data: 0.0
px: 432, py: 231, data: 0.0
px: 432, py: 232, data: 0.0
px: 432, py: 233, data: 0.0
px: 432, py: 234, data: 0.0
px: 432, py: 235, data: 0.0
px: 432, py: 236, data: 0.0
px: 432, py: 237, data: 0.0
px: 432, py: 238, data: 0.0
px: 432, py: 239, data: 0.0
px: 432, py: 240, data: 0.0
px: 432, py: 241, data: 0.0
px: 433, py: 230, data: 0.0
px: 433, py: 231, data: 0.0
px: 433, py: 232, data: 0.0
px: 433, py: 233, data: 0.0
px: 433, py: 234, data: 0.0
px: 433, py: 235, data: 0.0
px: 433, py: 236, data: 0.0
px: 433, py: 237, data: 0.0
px: 433, py: 238, data: 0.0
px: 433, py: 239, data: 0.0
px: 433, py: 240, data: 0.0
px: 433, py: 241, data: 0.0
px: 434, py: 230, data: 0.0
px: 434, py: 231, data: 0.0
px: 434, py: 232, data: 0.0
px: 434, py: 233, data: 0.0
px: 434, py: 234, data: 0.0
px: 434, py: 235, data: 0.0
px: 434, py: 236, data: 0.0
px: 434, py: 237, data: 0.0
px: 434, py: 238, data: 0.0
px: 434, py: 239, data: 0.0
px: 434, py: 240, data: 0.0
px: 434, py: 241, data: 0.0
px: 435, py: 230, data: 0.0
px: 435, py: 231, data: 0.0
px: 435, py: 232, data: 0.0
px: 435, py: 233, data: 0.0
px: 435, py: 234, data: 0.0
px: 435, py: 235, data: 0.0
px: 435, py: 236, data: 0.0
px: 435, py: 237, data: 0.0
px: 435, py: 238, data: 0.0
px: 435, py: 239, data: 0.0
px: 435, py: 240, data: 0.0
px: 435, py: 241, data: 0.0
px: 436, py: 230, data: 0.0
px: 436, py: 231, data: 0.0
px: 436, py: 232, data: 0.0
px: 436, py: 233, data: 0.0
px: 436, py: 234, data: 0.0
px: 436, py: 235, data: 0.0
px: 436, py: 236, data: 0.0
px: 436, py: 237, data: 0.0
px: 436, py: 238, data: 0.0
px: 436, py: 239, data: 0.0
px: 436, py: 240, data: 0.0
px: 436, py: 241, data: 0.0
px: 437, py: 230, data: 0.0
px: 437, py: 231, data: 0.0
px: 437, py: 232, data: 0.0
px: 437, py: 233, data: 0.0
px: 437, py: 234, data: 0.0
px: 437, py: 235, data: 0.0
px: 437, py: 236, data: 0.0
px: 437, py: 237, data: 0.0
px: 437, py: 238, data: 0.0
px: 437, py: 239, data: 0.0
px: 437, py: 240, data: 0.0
px: 437, py: 241, data: 0.0
px: 438, py: 230, data: 0.0
px: 438, py: 231, data: 0.0
px: 438, py: 232, data: 0.0
px: 438, py: 233, data: 0.0
px: 438, py: 234, data: 0.0
px: 438, py: 235, data: 0.0
px: 438, py: 236, data: 0.0
px: 438, py: 237, data: 0.0
px: 438, py: 238, data: 0.0
px: 438, py: 239, data: 0.0
px: 438, py: 240, data: 0.0
px: 438, py: 241, data: 0.0
px: 439, py: 230, data: 0.0
px: 439, py: 231, data: 0.0
px: 439, py: 232, data: 0.0
px: 439, py: 233, data: 0.0
px: 439, py: 234, data: 0.0
px: 439, py: 235, data: 0.0
px: 439, py: 236, data: 0.0
px: 439, py: 237, data: 0.0
px: 439, py: 238, data: 0.0
px: 439, py: 239, data: 0.0
px: 439, py: 240, data: 0.0
px: 439, py: 241, data: 0.0
px: 440, py: 230, data: 0.0
px: 440, py: 231, data: 0.0
px: 440, py: 232, data: 0.0
px: 440, py: 233, data: 0.0
px: 440, py: 234, data: 0.0
px: 440, py: 235, data: 0.0
px: 440, py: 236, data: 0.0
px: 440, py: 237, data: 0.0
px: 440, py: 238, data: 0.0
px: 440, py: 239, data: 0.0
px: 440, py: 240, data: 0.0
px: 440, py: 241, data: 0.0
