d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,class
-0.5213552386352673,-0.9488784630543595,0.4868480433647744,-0.6414366995197942,0.7748433685677208,-0.11500782004403809,-0.330704602001314,0.10543547556771371,-0.3352830444607898,-0.10851601207039852,-0.05171748989087299,0.8454507048496225,-0.29587862738907145,0.24757186448209878,0.01959315494898417,0
0.7599484598075201,-0.28302866104544844,0.15644955687904116,-0.9948079748723411,0.31993661893942515,-0.08433508896667818,-0.7399497583214769,0.00769333532846217,-0.5683182794633769,-0.22746554101932348,-0.2560875159104693,0.7659043323223668,-0.6518514906945808,0.5077693176440958,0.3380357534905982,0
-0.7556640241298931,-0.7754799800276202,0.08080286267296588,-0.9488418175035429,0.060080070139649666,-0.5581152387935873,-0.8643656932019188,0.14092852791657973,-0.5997421825721667,-0.4818789003688997,-0.3047182080511519,0.5187333007384033,-0.1478113977973684,0.9721289356097187,0.5265396952856317,0
0.03095827303492582,-0.988211190141964,0.5056967625266099,-0.9965601260796166,0.6934196176620269,-0.932845465925923,-0.4832931210001088,0.9862932480122281,-0.8208456311830145,-0.570912525170232,-0.8619552903412961,0.7029140541084836,-0.1857817071660265,0.23833068494716814,0.7084932822680704,0
0.7392134080874715,-0.7277835468375826,0.71805076552297,-0.17494296721596858,0.3217207192186461,-0.8247493562772173,-0.3620458638471119,0.9005737671439591,-0.7629437331640304,-0.8425781853846448,-0.26447279652752576,0.456137504462961,-0.36987038446553544,0.7694816090378742,0.8002413115457936,0
-0.5704624180519966,-0.8287162730167813,0.0962459559053489,-0.7318349169288056,0.4309336525748362,-0.45814355744643054,-0.03282783425387881,0.5972785104912451,-0.2100743952300188,-0.5249052230241392,-0.31945990246984124,0.397884334845358,-0.3582098533388707,0.35223070557051783,0.23296722433154415,0
-0.44427166221831116,-0.703615511723621,0.724110306322111,-0.8514734867872408,0.629128183240142,-0.40067041985355223,-0.5890053155204538,0.13552472592625187,-0.8705410961093037,-0.9669742571501269,-0.10337262191493213,0.9640383383599198,-0.43694920201599363,0.14256697463122492,0.5773902887662183,0
-0.6928144572960657,-0.3266001811250775,0.17330322631506534,-0.9466542875569997,0.28791031834590153,-0.8462027836688772,-0.5750358873422067,0.055189514399851536,-0.967559457046836,-0.4464648085557297,-0.023328858442190903,0.7896163708734608,-0.7795733904577746,0.8320318172065774,0.11783025611166842,0
-0.08934970812823062,-0.30545041150916286,0.5284357900142429,-0.9681899507152543,0.4328684889209098,-0.056267922434690254,-0.969128338193354,0.022475155494066423,-0.8162222600849666,-0.041528392042462725,-0.7726608272994057,0.8480586006435835,-0.7921294351160795,0.1431130939042261,0.8993806911061818,0
0.0650415611352273,-0.49762475770424397,0.5697589624054071,-0.4200169721378988,0.3614568036705321,-0.15751757194686733,-0.6639456575444079,0.23878135559573088,-0.3622219871126028,-0.13983862713557782,-0.7021258276922783,0.0804840664306461,-0.8281923603656042,0.3365542671761531,0.9879776296772721,0
