"height","lengthe","area","eccen","p_black","p_and","mean_tr","blackpix","blackand","wb_trans","class"
5,7,35,1.4,0.4,0.66,2.33,14,23,6,0
6,7,42,1.17,0.43,0.88,3.6,18,37,5,0
6,18,108,3,0.29,0.74,4.43,31,80,7,0
5,7,35,1.4,0.37,0.74,4.33,13,26,3,0
6,3,18,0.5,0.5,0.94,2.25,9,17,4,0
5,8,40,1.6,0.55,1,2.44,22,40,9,0
6,4,24,0.67,0.42,0.71,2.5,10,17,4,0
5,6,30,1.2,0.33,0.33,10,10,10,1,0
5,5,25,1,0.4,0.52,10,10,13,1,0
5,7,35,1.4,0.49,0.91,8.5,17,32,2,0
5,2,10,0.4,0.8,1,8,8,10,1,0
5,3,15,0.6,0.53,0.73,8,8,11,1,0
5,6,30,1.2,0.43,0.73,13,13,22,1,0
5,7,35,1.4,0.43,0.86,5,15,30,3,0
6,7,42,1.17,0.41,0.88,4.25,17,37,4,0
5,8,40,1.6,0.38,0.48,15,15,19,1,0
6,7,42,1.17,0.41,0.95,4.25,17,40,4,0
5,19,95,3.8,0.23,0.4,5.5,22,38,4,0
5,5,25,1,0.4,0.56,5,10,14,2,0
4,6,24,1.5,0.42,0.5,10,10,12,1,0
4,6,24,1.5,0.46,0.79,5.5,11,19,2,0
4,18,72,4.5,0.25,0.53,2.57,18,38,7,0
6,7,42,1.17,0.36,0.55,7.5,15,23,2,0
5,7,35,1.4,0.43,0.89,2.5,15,31,6,0
5,4,20,0.8,0.5,0.8,10,10,16,1,0
13,25,325,1.92,0.23,0.29,10.86,76,93,7,0
13,25,325,1.92,0.35,0.68,6,114,221,19,0
7,16,112,2.29,0.32,0.64,2.57,36,72,14,0
7,103,721,14.71,0.3,0.69,1.76,213,498,121,0
11,9,99,0.82,0.34,0.63,3.4,34,62,10,0
11,8,88,0.73,0.58,1,5.1,51,88,10,0
11,8,88,0.73,0.41,0.48,36,36,42,1,0
11,8,88,0.73,0.6,1,5.89,53,88,9,0
11,35,385,3.18,0.38,0.66,6.13,147,253,24,0
10,38,380,3.8,0.43,0.95,3.12,162,360,52,0
9,21,189,2.33,0.43,0.77,3,81,146,27,0
9,37,333,4.11,0.53,0.91,3.22,177,304,55,0
10,98,980,9.8,0.38,0.84,2.22,371,818,167,0
9,50,450,5.56,0.5,0.96,2.69,223,431,83,0
10,66,660,6.6,0.27,0.66,1.94,180,436,93,0
9,90,810,10,0.26,0.79,2.18,211,637,97,0
9,22,198,2.44,0.29,0.82,2.48,57,162,23,0
9,92,828,10.22,0.29,0.89,1.93,237,733,123,0
9,12,108,1.33,0.44,0.98,1.71,48,106,28,0
9,51,459,5.67,0.3,0.79,2.34,136,361,58,0
9,34,306,3.78,0.32,0.89,1.56,98,271,63,0
9,80,720,8.89,0.33,0.88,2.02,240,632,119,0
8,95,760,11.88,0.3,0.94,1.77,230,712,130,0
11,99,1089,9,0.23,0.6,2.14,250,654,117,0
10,12,120,1.2,0.37,1,1.69,44,120,26,0
10,53,530,5.3,0.29,0.82,1.79,156,434,87,0
9,92,828,10.22,0.29,0.84,2.05,242,698,118,0
11,85,935,7.73,0.26,0.89,1.67,240,836,144,0
9,83,747,9.22,0.28,0.85,1.91,212,634,111,0
9,12,108,1.33,0.45,1,1.69,49,108,29,0
9,64,576,7.11,0.3,0.97,1.81,172,559,95,0
11,102,1122,9.27,0.22,0.77,1.53,250,862,163,0
12,12,144,1,0.31,0.98,1.69,44,141,26,0
12,56,672,4.67,0.26,0.83,2.02,172,556,85,0
9,84,756,9.33,0.22,0.94,1.81,168,708,93,0
9,54,486,6,0.29,0.96,1.48,142,465,96,0
9,41,369,4.56,0.3,0.78,1.9,110,286,58,0
10,83,830,8.3,0.27,0.83,2.1,221,686,105,0
10,4,40,0.4,0.38,0.4,15,15,16,1,0
12,11,132,0.92,0.37,1,1.63,49,132,30,0
12,44,528,3.67,0.26,0.77,2.38,138,405,58,0
10,34,340,3.4,0.3,0.89,1.71,101,301,59,0
9,76,684,8.44,0.31,0.88,1.84,210,603,114,0
12,14,168,1.17,0.36,0.96,2.31,60,161,26,0
