dataset name,well-separated
clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0.csv,1-class-1-cluster
clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1.csv,1-class-1-cluster
clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2.csv,1-class-1-cluster
clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0.csv,no
clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber1.csv,1-class-1-cluster
clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber2.csv,1-class-1-cluster
clusternumber2_datanumber100_testnumbercategorysmall_repeatnumber0.csv,1-class-1-cluster
clusternumber2_datanumber100_testnumbercategorysmall_repeatnumber1.csv,1-class-1-cluster
clusternumber2_datanumber100_testnumbercategorysmall_repeatnumber2.csv,1-class-1-cluster
clusternumber2_datanumber200_testnumbercategorylarge_repeatnumber0.csv,1-class-1-cluster
clusternumber2_datanumber200_testnumbercategorylarge_repeatnumber1.csv,no
clusternumber2_datanumber200_testnumbercategorylarge_repeatnumber2.csv,1-class-1-cluster
clusternumber2_datanumber200_testnumbercategorymedium_repeatnumber0.csv,1-class-1-cluster
clusternumber2_datanumber200_testnumbercategorymedium_repeatnumber1.csv,no
clusternumber2_datanumber200_testnumbercategorymedium_repeatnumber2.csv,1-class-1-cluster
clusternumber2_datanumber200_testnumbercategorysmall_repeatnumber0.csv,1-class-1-cluster
clusternumber2_datanumber200_testnumbercategorysmall_repeatnumber1.csv,1-class-1-cluster
clusternumber2_datanumber200_testnumbercategorysmall_repeatnumber2.csv,1-class-1-cluster
clusternumber2_datanumber500_testnumbercategorylarge_repeatnumber0.csv,1-class-1-cluster
clusternumber2_datanumber500_testnumbercategorylarge_repeatnumber1.csv,1-class-1-cluster
clusternumber2_datanumber500_testnumbercategorylarge_repeatnumber2.csv,1-class-1-cluster
clusternumber2_datanumber500_testnumbercategorymedium_repeatnumber0.csv,1-class-1-cluster
clusternumber2_datanumber500_testnumbercategorymedium_repeatnumber1.csv,1-class-1-cluster
clusternumber2_datanumber500_testnumbercategorymedium_repeatnumber2.csv,1-class-1-cluster
clusternumber2_datanumber500_testnumbercategorysmall_repeatnumber0.csv,1-class-1-cluster
clusternumber2_datanumber500_testnumbercategorysmall_repeatnumber1.csv,1-class-1-cluster
clusternumber2_datanumber500_testnumbercategorysmall_repeatnumber2.csv,1-class-1-cluster
clusternumber3_datanumber100_testnumbercategorylarge_repeatnumber0.csv,1-class-1-cluster
clusternumber3_datanumber100_testnumbercategorylarge_repeatnumber1.csv,1-class-1-cluster
clusternumber3_datanumber100_testnumbercategorylarge_repeatnumber2.csv,1-class-1-cluster
clusternumber3_datanumber100_testnumbercategorymedium_repeatnumber0.csv,1-class-1-cluster
clusternumber3_datanumber100_testnumbercategorymedium_repeatnumber1.csv,1-class-1-cluster
clusternumber3_datanumber100_testnumbercategorymedium_repeatnumber2.csv,1-class-1-cluster
clusternumber3_datanumber100_testnumbercategorysmall_repeatnumber0.csv,1-class-1-cluster
clusternumber3_datanumber100_testnumbercategorysmall_repeatnumber1.csv,no
clusternumber3_datanumber100_testnumbercategorysmall_repeatnumber2.csv,1-class-1-cluster
clusternumber3_datanumber200_testnumbercategorylarge_repeatnumber0.csv,1-class-1-cluster
clusternumber3_datanumber200_testnumbercategorylarge_repeatnumber1.csv,1-class-1-cluster
clusternumber3_datanumber200_testnumbercategorylarge_repeatnumber2.csv,no
clusternumber3_datanumber200_testnumbercategorymedium_repeatnumber0.csv,1-class-1-cluster
clusternumber3_datanumber200_testnumbercategorymedium_repeatnumber1.csv,1-class-1-cluster
clusternumber3_datanumber200_testnumbercategorymedium_repeatnumber2.csv,1-class-1-cluster
clusternumber3_datanumber200_testnumbercategorysmall_repeatnumber0.csv,1-class-1-cluster
clusternumber3_datanumber200_testnumbercategorysmall_repeatnumber1.csv,1-class-1-cluster
clusternumber3_datanumber200_testnumbercategorysmall_repeatnumber2.csv,1-class-1-cluster
clusternumber3_datanumber500_testnumbercategorylarge_repeatnumber0.csv,1-class-1-cluster
clusternumber3_datanumber500_testnumbercategorylarge_repeatnumber1.csv,1-class-1-cluster
clusternumber3_datanumber500_testnumbercategorylarge_repeatnumber2.csv,no
clusternumber3_datanumber500_testnumbercategorymedium_repeatnumber0.csv,no
clusternumber3_datanumber500_testnumbercategorymedium_repeatnumber1.csv,1-class-1-cluster
clusternumber3_datanumber500_testnumbercategorymedium_repeatnumber2.csv,no
clusternumber3_datanumber500_testnumbercategorysmall_repeatnumber0.csv,1-class-1-cluster
clusternumber3_datanumber500_testnumbercategorysmall_repeatnumber1.csv,no
clusternumber3_datanumber500_testnumbercategorysmall_repeatnumber2.csv,no
clusternumber5_datanumber100_testnumbercategorylarge_repeatnumber0.csv,1-class-1-cluster
clusternumber5_datanumber100_testnumbercategorylarge_repeatnumber1.csv,no
clusternumber5_datanumber100_testnumbercategorylarge_repeatnumber2.csv,no
clusternumber5_datanumber100_testnumbercategorymedium_repeatnumber0.csv,1-class-1-cluster
clusternumber5_datanumber100_testnumbercategorymedium_repeatnumber1.csv,no
clusternumber5_datanumber100_testnumbercategorymedium_repeatnumber2.csv,no
clusternumber5_datanumber100_testnumbercategorysmall_repeatnumber0.csv,1-class-1-cluster
clusternumber5_datanumber100_testnumbercategorysmall_repeatnumber1.csv,no
clusternumber5_datanumber100_testnumbercategorysmall_repeatnumber2.csv,no
clusternumber5_datanumber200_testnumbercategorylarge_repeatnumber0.csv,1-class-1-cluster
clusternumber5_datanumber200_testnumbercategorylarge_repeatnumber1.csv,no
clusternumber5_datanumber200_testnumbercategorylarge_repeatnumber2.csv,no
clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber0.csv,no
clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.csv,no
clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber2.csv,no
clusternumber5_datanumber200_testnumbercategorysmall_repeatnumber0.csv,no
clusternumber5_datanumber200_testnumbercategorysmall_repeatnumber1.csv,no
clusternumber5_datanumber200_testnumbercategorysmall_repeatnumber2.csv,1-class-1-cluster
clusternumber5_datanumber500_testnumbercategorylarge_repeatnumber0.csv,no
clusternumber5_datanumber500_testnumbercategorylarge_repeatnumber1.csv,1-class-1-cluster
clusternumber5_datanumber500_testnumbercategorylarge_repeatnumber2.csv,1-class-1-cluster
clusternumber5_datanumber500_testnumbercategorymedium_repeatnumber0.csv,no
clusternumber5_datanumber500_testnumbercategorymedium_repeatnumber1.csv,1-class-1-cluster
clusternumber5_datanumber500_testnumbercategorymedium_repeatnumber2.csv,no
