Scatterplot Name,Dataset Name,Number of Entire Data,Number of Classes,Shape,Marker Size,M_distance,M_distance Calculation Time,LOF Distance,LOF Distance Calculation Time,Isolation Forest Distance,Isolation Forest Distance Calculation Time,Centroid Distance,Centroid Distance Calculation Time,Average Linkage Method Distance,Average Linkage Method Distance Calculation Time,Visibility Index,Visibility Index Calculation Time,MPix,MPix Calculation Time,Grid Density Overlap Degree,Grid Density Overlap Degree Calculation Time,Kernel Density Overlap Degree,Kernel Density Overlap Degree Calculation Time,Nearest Neighbor Distance,Nearest Neighbor Distance Calculation Time,Pairwise Bounding Box Overlap Degree,Pairwise Bounding Box Overlap Degree Calculation Time,No. Covered Data Points,No. Covered Data Points by Different Classes,No. Covered Pixels,No. Covered Pixels by Different Classes,Categories Covered Data Points by Different Classes
figure_category_basedmarkersize10_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],10,0.8574643479819944,0.5154154300689697,0.8182911533960081,0.5238468647003174,1.009910243061613,0.5568034648895264,0.7590157415063282,0.5170509815216064,0.8143270133292633,0.5557172298431396,1.0,0.29546666145324707,114,0.2825584411621094,0.0,0.1851208209991455,0.03054651573460887,0.04178571701049805,10.493879824593337,0.006910800933837891,0.013379839330220395,2.691901683807373,0,0,21,114,[]
figure_category_basedmarkersize60_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],60,0.7200572819726303,0.5222859382629395,0.656665707990055,0.5553083419799805,1.0280776994758145,0.5821976661682129,0.5741605429390171,0.46524715423583984,0.649238622108713,0.5338864326477051,0.985,0.2859995365142822,3022,0.2910885810852051,0.0,0.19211149215698242,0.03054651573460887,0.033258676528930664,10.493879824593337,0.0020008087158203125,0.031923274853732274,3.450962543487549,2,0,268,3022,[]
figure_category_basedmarkersize110_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],110,0.5884938532637681,0.38167715072631836,0.509560033212286,0.5510623455047607,1.0405644998906585,0.6057517528533936,0.4247483860514659,0.5634710788726807,0.5019974008937811,0.5829448699951172,0.95,0.21187281608581543,8403,0.30362415313720703,0.0,0.3036520481109619,0.03054651573460887,0.03095555305480957,10.493879824593337,0.001982450485229492,0.04464447233259006,3.487954616546631,2,0,823,8403,[]
figure_category_basedmarkersize160_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],160,0.5182013715359924,0.5990240573883057,0.43506567064508994,0.5056347846984863,1.0526630701474295,0.6226301193237305,0.35507241321645133,0.6053600311279297,0.42816433293493217,0.49903082847595215,0.92,0.22152471542358398,13785,0.30953073501586914,0.0,0.2060561180114746,0.03054651573460887,0.030902624130249023,10.493879824593337,0.0020055770874023438,0.053595652413956675,4.059341669082642,3,0,1454,13785,[]
figure_ascendingmarkersize10_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],10,0.9521222389632291,0.5047681331634521,0.9467308686367839,0.5118703842163086,0.9267224461300244,0.6056959629058838,0.9677762722433886,0.601017951965332,0.961994981880078,0.5006136894226074,1.0,0.32775306701660156,114,0.23929429054260254,0.0,0.3559858798980713,0.03054651573460887,0.03979158401489258,10.493879824593337,0.0030074119567871094,0.013379839330220395,2.1932361125946045,0,0,21,114,[]
figure_ascendingmarkersize60_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],60,0.876258363926698,0.6281416416168213,0.8836580854696288,0.8097028732299805,0.845193432678678,0.746826171875,0.9184119576141934,0.5371787548065186,0.9122669361043863,0.5672252178192139,0.985,0.43227052688598633,3022,0.22551774978637695,0.0,0.34833836555480957,0.03054651573460887,0.02954721450805664,10.493879824593337,0.003576040267944336,0.031923274853732274,2.3108696937561035,0,0,268,3022,[]
figure_ascendingmarkersize110_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],110,0.7999841681857953,0.5617704391479492,0.811519888986157,0.5683078765869141,0.741503386959782,0.8149020671844482,0.8657769861388894,0.4370250701904297,0.8551415277852891,0.6689121723175049,0.95,0.25122570991516113,8403,0.22613048553466797,0.0,0.3810384273529053,0.03054651573460887,0.031362295150756836,10.493879824593337,0.003517627716064453,0.044644472332590036,2.381221294403076,0,0,823,8403,[]
figure_ascendingmarkersize160_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],160,0.7541512816707119,0.6966912746429443,0.7668791083138886,0.5688745975494385,0.6724890021891935,0.5804867744445801,0.8332498428361349,0.7154285907745361,0.818847021988269,0.452439546585083,0.92,0.41267824172973633,13785,0.25490880012512207,0.0,0.24044179916381836,0.03054651573460887,0.02984786033630371,10.493879824593337,0.0020165443420410156,0.053595652413956675,3.0230612754821777,0,0,1454,13785,[]
figure_descendingmarkersize10_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],10,0.8574311799588721,0.5549147129058838,0.8182858470868899,0.4521369934082031,1.0099088338103017,0.6998960971832275,0.7589704172797427,0.5371150970458984,0.8143194970289975,0.548548698425293,1.0,0.39986467361450195,114,0.22927284240722656,0.0,0.38922953605651855,0.03054651573460887,0.030032634735107422,10.493879824593337,0.0029990673065185547,0.013379839330220395,2.0642409324645996,0,0,21,114,[]
figure_descendingmarkersize60_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],60,0.7189761764260427,0.46282148361206055,0.656490510288122,0.6016919612884521,1.0280218053199404,0.7082860469818115,0.5731332283750898,0.4557313919067383,0.6489408197846638,0.587620735168457,0.985,0.262190580368042,3022,0.4148871898651123,0.0,0.2478189468383789,0.03054651573460887,0.03092813491821289,10.493879824593337,0.0015132427215576172,0.03192327485373227,2.140321731567383,0,0,268,3022,[]
